time;I(VBT1);V(+3V0);V(/Green_Signal);V(/Red_Signal);
30.2513;-0.000135409;3;-0.106236;-0.090984;
30.2523;-0.00108976;3;-0.0903302;-0.0908414;
30.2533;-0.000133139;3;-0.106237;-0.0906971;
30.2543;-0.00108747;3;-0.0903308;-0.0905511;
30.2553;-0.000130846;3;-0.106237;-0.0904034;
30.2563;-0.00108516;3;-0.0903315;-0.0902539;
30.2573;-0.000128531;3;-0.106238;-0.0901028;
30.2583;-0.00108284;3;-0.0903322;-0.08995;
30.2593;-0.000126198;3;-0.106238;-0.0897955;
30.2603;-0.00108049;3;-0.0903328;-0.0896393;
30.2613;-0.000123848;3;-0.106239;-0.0894814;
30.2623;-0.00107813;3;-0.0903334;-0.0893219;
30.2633;-0.000121483;3;-0.106239;-0.0891607;
30.2643;-0.00107576;3;-0.0903339;-0.0889979;
30.2653;-0.000119106;3;-0.10624;-0.0888334;
30.2663;-0.00107338;3;-0.0903345;-0.0886673;
30.2673;-0.000116719;3;-0.10624;-0.0884995;
30.2683;-0.00107098;3;-0.090335;-0.0883302;
30.2693;-0.000114324;3;-0.10624;-0.0881592;
30.2703;-0.00106858;3;-0.0903354;-0.0879866;
30.2713;-0.000111924;3;-0.106241;-0.0878124;
30.2723;-0.00106618;3;-0.0903358;-0.0876367;
30.2733;-0.000109521;3;-0.106241;-0.0874594;
30.2743;-0.00106377;3;-0.0903362;-0.0872805;
30.2753;-0.000107117;3;-0.106241;-0.0871001;
30.2763;-0.00106137;3;-0.0903365;-0.0869181;
30.2773;-0.000104714;3;-0.106241;-0.0867346;
30.2783;-0.00105896;3;-0.0903368;-0.0865496;
30.2793;-0.000102315;3;-0.106241;-0.0863631;
30.2803;-0.00105657;3;-0.090337;-0.0861751;
30.2813;-9.99209e-05;3;-0.106241;-0.0859857;
30.2823;-0.00105417;3;-0.0903372;-0.0857948;
30.2833;-9.7535e-05;3;-0.106241;-0.0856024;
30.2843;-0.00105179;3;-0.0903373;-0.0854085;
30.2853;-9.51589e-05;3;-0.106241;-0.0852133;
30.2863;-0.00104942;3;-0.0903373;-0.0850166;
30.2873;-9.27946e-05;3;-0.106241;-0.0848186;
30.2883;-0.00104706;3;-0.0903372;-0.0846191;
30.2893;-9.0444e-05;3;-0.106241;-0.0844183;
30.2903;-0.00104471;3;-0.090337;-0.0842161;
30.2913;-8.8109e-05;3;-0.106241;-0.0840125;
30.2923;-0.00104238;3;-0.0903368;-0.0838077;
30.2933;-8.57914e-05;3;-0.10624;-0.0836014;
30.2943;-0.00104007;3;-0.0903364;-0.0833939;
30.2953;-8.34929e-05;3;-0.10624;-0.0831851;
30.2963;-0.00103778;3;-0.090336;-0.082975;
30.2973;-8.1215e-05;3;-0.106239;-0.0827636;
30.2983;-0.00103551;3;-0.0903354;-0.082551;
30.2993;-7.89595e-05;3;-0.106238;-0.0823371;
